[Thu Feb 09 13:27:07 CST 2023] inser**nique,-1,-1,null,0,0,0,0,
[Thu Feb 09 13:27:09 CST 2023] inser**nique,1316,107,712.70,66,66,98,0,
[Thu Feb 09 13:27:10 CST 2023] inser**nique,2318,107,1019.34,121,121,295,0,
[Thu Feb 09 13:27:11 CST 2023] inser**nique,3333,107,1538.60,143,143,494,0,
[Thu Feb 09 13:27:12 CST 2023] inser**nique,3450,107,1817.38,165,165,733,0,
[Thu Feb 09 13:27:13 CST 2023] inser**nique,3936,107,1909.40,179,179,990,0,
[Thu Feb 09 13:27:14 CST 2023] inser**nique,4064,107,1945.17,190,190,1232,0,
[Thu Feb 09 13:27:15 CST 2023] inser**nique,4064,107,1948.09,200,200,1488,0,
[Thu Feb 09 13:27:16 CST 2023] inser**nique,4064,107,1987.37,203,203,1721,0,
[Thu Feb 09 13:27:17 CST 2023] inser**nique,4064,107,1991.48,209,209,1980,0,
[Thu Feb 09 13:27:18 CST 2023] inser**nique,4064,107,1980.08,213,213,2226,0,
[Thu Feb 09 13:27:19 CST 2023] inser**nique,4064,107,1985.63,214,214,2467,0,
[Thu Feb 09 13:27:20 CST 2023] inser**nique,4064,107,1998.45,205,205,2563,0,
[Thu Feb 09 13:27:21 CST 2023] inser**nique,4064,107,2030.44,196,196,2652,0,
[Thu Feb 09 13:27:22 CST 2023] inser**nique,4733,107,2124.71,196,196,2835,0,
[Thu Feb 09 13:27:23 CST 2023] inser**nique,5488,107,2170.82,190,190,2907,0,
[Thu Feb 09 13:27:24 CST 2023] inser**nique,5568,107,2172.76,176,176,2910,0,
[Thu Feb 09 13:27:25 CST 2023] inser**nique,6239,107,2175.51,173,173,2911,0,
[Thu Feb 09 13:27:26 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,0,
[Thu Feb 09 13:27:29 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,0,
[Thu Feb 09 13:27:30 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,652,
[Thu Feb 09 13:27:31 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,2325,
[Thu Feb 09 13:27:32 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,3849,
[Thu Feb 09 13:27:33 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,6007,
[Thu Feb 09 13:27:34 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,8229,
[Thu Feb 09 13:27:35 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,10770,
[Thu Feb 09 13:27:36 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,13383,
[Thu Feb 09 13:27:37 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,15948,
[Thu Feb 09 13:27:38 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,18248,
[Thu Feb 09 13:27:39 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,20803,
[Thu Feb 09 13:27:40 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,23193,
[Thu Feb 09 13:27:41 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,25742,
[Thu Feb 09 13:27:42 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,27823,
[Thu Feb 09 13:27:43 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,30463,
[Thu Feb 09 13:27:44 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,33218,
[Thu Feb 09 13:27:45 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,36149,
[Thu Feb 09 13:27:46 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,37772,
[Thu Feb 09 13:27:47 CST 2023] inser**nique,7884,107,2180.92,158,158,2914,40351,
